id,title,release_date,popularity,budget,revenue,runtime
1022789,Inside Out 2,2024-06-11,3553.5,200000000,0,97
653346,Kingdom of the Planet of the Apes,2024-05-08,3327.202,160000000,359772773,145
573435,Bad Boys: Ride or Die,2024-06-05,2520.868,100000000,130151244,115
1001311,Under Paris,2024-06-05,2692.396,0,0,104
823464,Godzilla x Kong: The New Empire,2024-03-27,1610.826,150000000,567156493,115
955555,The Roundup: No Way Out,2023-05-31,1435.951,0,83410298,105
929590,Civil War,2024-04-10,1346.112,50000000,114097977,109
626412,Alienoid: Return to the Future,2024-01-10,1163.727,0,9800000,122
150540,Inside Out,2015-06-17,1529.965,175000000,857611174,95
974635,Hit Man,2024-05-16,943.363,8800000,1139025,116
719221,Tarot,2024-05-01,1052.546,8000000,45313000,92
614933,Atlas,2024-05-23,1014.933,100,0,120
746036,The Fall Guy,2024-04-24,800.717,125000000,166627315,126
38700,Bad Boys for Life,2020-01-15,791.696,90000000,426505244,124
1025463,Bionic,2024-05-28,743.097,0,0,110
1011985,Kung Fu Panda 4,2024-03-02,734.813,80000000,539271347,94
786892,Furiosa: A Mad Max Saga,2024-05-22,660.621,168000000,144409000,149
1263421,Baki Hanma VS Kengan Ashura,2024-06-05,660.51,0,0,60
1136318,Battle Over Britain,2023-12-01,646.476,0,0,80
437342,The First Omen,2024-04-03,627.181,30000000,53689531,119
